Hostname,IP-Address,IOS version,Serial-No,System-Image
R1-Hub,10.1.20.1,15.5(2)T,['2048008'],/opt/gns3/images/IOU/i86bi-linux-l3-adventerprisek9-ms.155-2.T.
R2-Hub,10.1.20.2,15.5(2)T,['2048007'],/opt/gns3/images/IOU/i86bi-linux-l3-adventerprisek9-ms.155-2.T.
R4-Spoke-BR1,172.31.20.30,15.5(2)T,['2048005'],/opt/gns3/images/IOU/i86bi-linux-l3-adventerprisek9-ms.155-2.T.
R5-Spoke-BR2,172.31.20.40,15.5(2)T,['2048006'],/opt/gns3/images/IOU/i86bi-linux-l3-adventerprisek9-ms.155-2.T.
HQ-SW1,10.1.20.10,,['2048004'],/opt/gns3/images/IOU/i86bi-linux-l2-upk9-15.0b.bin
HQ-SW2,10.1.20.20,,['2048002'],/opt/gns3/images/IOU/i86bi-linux-l2-adventerprisek9-15.1a.bin
HQ-SW3,10.1.20.30,,['2048003'],/opt/gns3/images/IOU/i86bi-linux-l2-adventerprisek9-15.1a.bin
BR-SW1,10.1.30.10,,['2048009'],/opt/gns3/images/IOU/i86bi-linux-l2-upk9-15.0b.bin
BR-SW2,10.1.40.10,,['2048010'],/opt/gns3/images/IOU/i86bi-linux-l2-upk9-15.0b.bin
